colour,description,image_urls,product_name
Black ,"The Cashmere Lounge Pant in Black is knitted from cashmere that's comfortable with a soft handle. They have a slightly slim fit with a drawstring, elasticated waistband, and tapered cuffs. Wear with a simple tank and the matching sweater.Cashmere lounge track pantsElasticated waist with ribbed detailMatching cashmere drawstring in waistTapered leg finished with ribbed detailSlightly cropped length100% CashmereGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cashmere-Lounge-Pant-Black-1196.jpg?v=1652071957,Cashmere Lounge Pant
Yellow/Brown Stripe ,"The Backless Apron Maxi Dress is made for warm summer nights. Cut from heavyweight cotton in a bold yellow and brown stripe, this dress has a straight neckline framed by thin shoulder straps that tie at the neck, side cut-outs, and a low back. Wear it with sandals or barely-there heels.Backless apron cotton maxi dressStraight necklineCustom stripeSpaghetti straps that tie at the neckRoule ties that fasten at the backSide cut-outs and an open backLow back waist with zipperSide pockets100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Backless-Apron-Maxi-Dress-Yellow-Brown-Stripe_0161.jpg?v=1656384337,Backless Apron Maxi Dress
Forest Green Stripe ,"The Backless Apron Maxi Dress is made for summer parties. Cut from heavyweight cotton and printed in a forest green stripe print, this dress has a straight neckline framed by thin shoulder straps that tie at the neck, side cut-outs, and a low back. Wear it with sandals or barely-there heels.Backless apron cotton maxi dressStraight necklineSpaghetti straps that tie at the neckRoule ties that fasten at the backSide cut-outs and an open backLow back waist with zipperSide pockets100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/220110_VENROY_HIGHSUMMER_Shot50_2769R_ECOMM_CROP.jpg?v=1646188716,Backless Apron Maxi Dress
Black ,"The Backless Apron Maxi Dress is made for summer parties. Cut from heavyweight cotton in a classic black hue, this dress has a straight neckline framed by thin shoulder straps that tie at the neck, side cut-outs, and a low back. Wear it with sandals or barely-there heels.Backless apron cotton maxi dressStraight necklineSpaghetti straps that tie at the neckRoule ties that fasten at the backSide cut-outs and an open backLow back waist with zipperSide pockets100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Backless-Apron-Maxi-Dress-Black-2765.jpg?v=1656384290,Backless Apron Maxi Dress
Passionfruit Gradient Stripe ,"The Linen Halter Dress is a bright and summery dress made for your next vacation. Cut from airy linen in a Passionfruit Gradient Stripe, it has a relaxed silhouette with a crossover halterneck, elasticated low back, and front split that glides as you walk. Wear on sunny escapes both near and far.Relaxed midi length halter dressCustom printWide necklineFront bodiced lined and slightly sheer skirtFront splitElasticated low back100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Linen-Halter-Dress-Passionfruit-Gradient-Stripe_0093.jpg?v=1656384336,Linen Halter Dress
White ,"The Pin Tuck Midi Dress in White is designed to throw on after a day at the beach or wear lounging back in your hotel room. Cut from heavyweight cotton, this dress has a relaxed shape, with a square neckline, crochet trim, and thick straps.&nbsp;Relaxed heavy-weight cotton-poplin dressLonger maxi lengthFine pin-tuck details on the front neckStraight neckline with paneled neckbandCotton crochet lace trimThick straps100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Pin-Tuck-Midi-Dress-White_0058.jpg?v=1656384337,Pin Tuck Midi Dress
Blue Orchid ,"The Tie Back Maxi Dress is perfect for balmy summer days. It&#39;s made from breathable linen that&#39;s patterned with a holiday-inspired Ibiza Blue Orchard print and has a breezy, slightly loose, maxi silhouette with an open back that ties with wide straps.Tie back linen maxi dressStraight fitted bodiceFine adjustable bodice strapsGathering detail from under bust seamsWide adjustable ties at the backSide cutoutsLong gathered skirtInvisible zipper at the backBack split100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Tie-Back-Maxi-Dress-Blue-Orchid_0028.jpg?v=1656384336,Tie Back Maxi Dress
White ,"The Strapless Tailored Linen Mini Dress in White will instantly transport you to the warmer days. Made from European linen that is fused to give you structure, it has a straight strapless neckline, slim fit, and front welt pockets. Wear with strappy sandals.Strapless European flax linen mini dressTailored with structural internal bodiceInternal tape on the bust for supportFunctional welt pockets at hipMesh paneling through the back for comfortInvisible zipperFully lined100% Linen and 100% Cotton LiningDry clean preferable or cold delicate hand wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Strapless-Tailored-Linen-Mini-Dress-White_0290.jpg?v=1656384336,Strapless Tailored Linen Mini Dress
Milk ,"The Linen Kaftan Dress in Milk is designed to wear over swim or to transition you from the pool to the bar at sunset. Cut from breathable linen, this easy dress has a deep V neckline and voluminous blouson sleeves. Wear yours with a pair of flat sandals.

Lightweight midi kaftan linen dress
Long raglan sleeve
Deep V neckline
Elasticated cuffed designed to be worn long or scrunched up
100% Linen
Cold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/220110_VENROY_HIGHSUMMER_Shot34_2205.jpg?v=1646188718,Linen Kaftan Dress
Cherry Mahogany ,The Strapless Elastic Midi Dress in a deep Cherry Mahogany is made from breathable linen with a shirred bodice top that falls into a midi-length skirt that reveals a front slit as you walk. Style yours with sandals and a straw tote.Strapless linen midi dressShirring fitted topStraight midi skirtFront slit100% Linen and 100% Cotton LiningCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Strapless-Elastic-Midi-Dress-Cherry-Mahogany_0267.jpg?v=1656384337,Strapless Elastic Midi Dress
Pink/Cherry Woven Stripe ,"The Woven Stripe Tunic is cut from a mid-weight cotton-linen and patterned in a bold pink and cherry stripe. Designed to slip on over a swimsuit, it has a relaxed wide fit, deep V neckline, and a side rise at the hem. Wear on its own to take you from the beach to the bar, or as a set with the matching pants.Mid-weight cotton-linen tunicCustom woven stripeRelaxed fit with wide cutDeep V open neckStand collarScoop shaped hem with side rise83% Cotton and 17% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/stripere-colour.jpg?v=1656384337,Woven Stripe Tunic
Pink Honey Floral Tile ,"The Strapless Tailored Linen Mini Dress in a playful tile print will instantly transport you to the warmer days. Made from European linen that is fused to give you structure, it has a straight strapless neckline, slim fit, and front welt pockets. Wear with strappy sandals.Strapless European flax linen mini dressCustom &#39;Pink Honey Floral Tile&#39; printTailored with structural internal bodiceInternal tape on the bust for supportFunctional welt pockets at hipMesh paneling through the back for comfortInvisible zipperFully lined100% Linen and 100% Cotton LiningDry clean preferable or cold delicate hand wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Strapless-Tailored-Linen-Mini-Dress-Pink-Honey-Floral-Tile_0357.jpg?v=1656384337,Strapless Tailored Linen Mini Dress
Lemonade ,"The Woven Terry Poncho is designed to slip on over swimwear after a swim. Made from a soft cotton terry towel in a yellow lemonade hue, this poncho is cut for a relaxed fit, with a deep V neckline and short cap sleeves.

Cotton loopback light terry towel poncho
Deep V neckline
Short cap style sleeves
Wide fit
Side split at hem
Tonal cotton fringe trim along the hem
100% Cotton
Cold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Woven-Terry-Poncho-Lemonade-0001.jpg?v=1646188753,Woven Terry Poncho
Black ,"The Seersucker Cotton Slip Dress is the dress that takes you from the bar to dinner. Cut from textured seersucker cotton, it has a straight neckline with adjustable straps and reveals a cut-out detail at the bust.Seersucker fitted cotton slip dressStraight necklineThin adjustable strapsCut out detail at bust100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Seersucker-Cotton-Slip-Dress-Black-0004.jpg?v=1646188716,Seersucker Cotton Slip Dress
Off White ,"The Crochet Knit Skirt in Off White was inspired by photographs of nets from fishing boats in Positano. This sheer cotton midi skirt has a straight fit, an elasticated waistband, and finishes with a solid ribbed hem. Wear yours with the matching top, or over swimwear to sunset drinks.Sheer cotton crochet midi knit shirtStraight classic fitElasticated ribbed waistband with drawcordsRibbed finish on hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Crochet-Knit-Skirt-Off-White_1696.jpg?v=1656384244,Crochet Knit Skirt
Latte ,"The Cashmere Exposed Seam Raglan in Latte is a simple, versatile and comfortable option for cooler days. Made from cashmere that's soft and lightweight, it has a classic crew neckline and rib finishes. Wear yours with everything from denim to the matching track pants.Cashmere exposed seam raglan topRound crew necklineRaglan style sleevesExposed seam along sleeve edgeRib finish on cuffs and hem100% CashmereGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cashmere-Exposed-Seam-Raglan-Latte-1182.jpg?v=1652072174,Cashmere Exposed Seam Raglan
Black ,"The Crochet Knit Slip Dress in black is knitted from lightweight cotton with a slim fit, V neckline, and a diamond shape cutout. Wear it from the bar to dinner.Crochet knitted rib slip dressSleeveless tank styleV necklineDiamond shape cutout under bustRelaxed fitSlightly sheer100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Crochet-Knit-Slip-Dress-Blood-Orange-0002.jpg?v=1646188800,Crochet Knit Slip Dress
Grey Marl ,"The Cashmere Lounge Pant in Grey Marle is knitted from cashmere that's comfortable with a soft handle. They have a slightly slim fit with a drawstring, elasticated waistband, and tapered cuffs. Wear with a simple tank and the matching sweater.Cashmere lounge track pantsElasticated waist with ribbed detailMatching cashmere drawstring in waistTapered leg finished with ribbed detailSlightly cropped length100% CashmereGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cashmere-Lounge-Pant-Grey-Marl-0496.jpg?v=1652072175,Cashmere Lounge Pant
Cherry Mahogany ,"The Woven Terry Poncho is designed to slip on over swimwear after a swim. Made from a soft cotton terry towel in a Cherry Mahogany hue, this poncho is cut for a relaxed fit, with a deep V neckline and short cap sleeves.Cotton loopback light terry towel ponchoDeep V necklineShort cap style sleevesWide fitSide split at hemTonal cotton fringe trim along the hem100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Woven-Terry-Poncho-Cherry-Mahogany_0381.jpg?v=1656384342,Woven Terry Poncho
Red Clay ,"The Woven Terry Lounge Short in Red Clay is cut from a soft and absorbent cotton terry towel, with a comfortable elasticated waistband and a scoop hem. Wear yours with the coordinating shirt after a dip in the ocean.Woven terry towel lounge shortsHighwaisted cutElasticated waistband with drawstringsScoop hemSide pockets100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_Woven-Terry-Lounge-Short-Red-Clay-_0147_f9ec237f-d7eb-4c0b-a454-67ee6b70e208.jpg?v=1646188280,Woven Terry Lounge Short
Black ,"The Rib Knitted Cropped Tank in Black is an endlessly versatile staple. Knitted from lightweight linen, this top has a boxy fit, crew necklick and a narrow rib finish. Slip yours on with the matching skirt or tonal knitted pants.Cropped linen tank topBoxy fitRound crew necklineNarrow rib finishRibbing bind across neckline and armholes100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Rib-Knitted-Cropped-Tank-Black-0445.jpg?v=1656384240,Rib Knitted Cropped Tank
Grey Marl ,"Knitted from soft and warm cashmere it has a classic round neck, relaxed fit, and ribbed trims.

Round crew neckline
Raglan style sleeves
Exposed seam along sleeve edge
Rib finish on cuffs and hem
100% Cashmere
Gentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cashmere-Exposed-Raglan-Jumper-Top-Grey-Marl3_e58fa8d4-dff6-4077-adf1-a4fe9d56a717.jpg?v=1626757354,Cashmere Exposed Seam Raglan
Off White ,"The Rib Knitted Cropped Tank in Off White is an endlessly versatile staple. Knitted from lightweight linen, this top has a boxy fit, crew neckline, and a narrow rib finish. Slip yours on with the matching skirt or tonal knitted pants.Cropped linen tank topBoxy fitRound crew necklineNarrow rib finishRibbing bind across neckline and armholes100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Rib-Knitted-Cropped-Tank-Off-White-0423.jpg?v=1656384267,Rib Knitted Cropped Tank
Black ,"The Rib Knitted Skirt in Black is an everyday basic you'll wear again and again on warmer days. Knitted from linen that slightly heavy which allows it to flow over the body, it has an elasticated waistband and slim fit. Style yours with the matching crop tank and sandals.Midi length rib linen knitted skirtElasticated waistbandSlim fitStraightens at hem100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Rib-Knitted-Cropped-Tank-Black-0432.jpg?v=1656384242,Rib Knitted Skirt
V Monogram Print ,"The Silk Wide Leg Pant are a comfortable choice for travelling or relaxing on the vacation. Cut from slinky silk printed with the signature V monogram inspired by the colours of Italian tiles, they have an elasticated waistband and side and back pockets. Wear them as a set with the matching short sleeve shirt.Silk twill wide-leg pantsRelaxed fit with elasticated waistCustom V monogram printSide and back pocket100% SilkGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_Silk-Printed-Pant-V-Monogram-Print-_0513.jpg?v=1631503442,Silk Printed Pant
Black ,"Offering style and function, this pure cashmere has the benefit of incredible warmth, matched with impeccable taste. A luxurious option this winter.Raglan sleeve styleExposed seam along sleeve edgeNo-itch cashmere throughout100% CashmereGentle dry clean only",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Cashmere-Exposed-Raglan-Jumper-Top-Black2.jpg?v=1626757210,Exposed Seam Cashmere Raglan Sweater
Off White ,"The Rib Knitted Skirt in Off White is an everyday basis you'll wear again and again on warmer days. Knitted from linen that is slightly heavy which allows it to flow over the body, it has an elasticated waistband and slim fit. Style yours with the matching crop tank and sandals.Midi length rib linen knitted skirtElasticated waistbandSlim fitStraightens at hem100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Rib-Knitted-Cropped-Tank-Off-White-0403.jpg?v=1656384267,Rib Knitted Skirt
Lilac ,"The Woven Terry Lounge Short in Lilac is cut from a soft and absorbent cotton terry towel, with a comfortable elasticated waistband and a scoop hem. Wear yours with the coordinating shirt after a dip in the ocean.Woven terry towel lounge shortsHighwaisted cutElasticated waistband with drawstringsScoop hemSide pockets100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_Woven-Terry-Lounge-Short-Lilac-_00321.jpg?v=1631846333,Woven Terry Lounge Short
Grey Marl ,"The Light Weight T-Shirt in Grey Marl is a Venroy staple every wardrobe needs. The same cut that you love, this t-shirt is made from soft lightweight cotton with a relaxed fit and a classic crew neckline. Wear yours with loungewear or tucked into denim.Lightweight cotton t-shirtSlight relaxed shape fitCrew neckline with self bind collar100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Lightweight-T-Shirt-Grey-Marl-2634.jpg?v=1656384307,Lightweight T-Shirt
Black ,"The Track Hoodie in Black is perfect for lounging at home or running errands on active days. Made from loop-back cotton in a relaxed silhouette that's enhanced by dropped shoulders, large kangaroo pockets, and rib trim details. The slightly cropped length works best with the matching track pants.Cotton track hoodieCropped lengthBagged out hoodDropped shouldersKangaroo pocketsRib trim on hem and cuffsTrue to size100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Hoodie-Black-1442.jpg?v=1652073053,Track Hoodie
Taupe ,"The Linen Knitted Pant in Taupe is a Venroy staple, whether you're lounging at home or heading out for the day. Knitted from a sheer linen that is slightly weighted which makes it drop and fall over the body, they have an elasticated rib waistband and a wide leg. Style them with the matching tank.Lightweight linen knitted pants with a straight leg fitElasticised waistband with adjustable drawcordRib detail on waistbandFull length100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy_Knitted-Tank-Taupe_1965.jpg?v=1656384090,Linen Knitted Pant
Red ,"The Track Pant in Red is as cool as they are comfortable. This coveted style is back this season in the same fit you love, cut from loop-back cotton these pants have an elasticated waistband, side pockets, and a relaxed fit through the legs and taper at the elasticated cuffs. Wear yours with the matching zip sweater.Relaxed cotton track pantElasticated waistband with adjustable drawstringSide pocketsTapered leg with elasticated cuffsWe suggest sizing down in this style for a slimmer fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Unisex-Track-Zip-Sweater-Red-0707.jpg?v=1652073023,Track Pant
Juniper Green ,"The Track Pant in Juniper Green is as cool as they are comfortable. This coveted style is back this season in the same fit you love, cut from loop-back cotton these pants have an elasticated waistband, side pockets, and a relaxed fit through the legs and taper at the elasticated cuffs. Wear yours with the matching zip sweater.Relaxed cotton track pantElasticated waistband with adjustable drawstringSide pocketsTapered leg with elasticated cuffsWe suggest sizing down in this style for a slimmer fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Pant-Juniper-Green-1224.jpg?v=1656384306,Track Pant
Off White ,"The Long Sleeve T-Shirt in Off white is an everyday basic. Cut from mid-weight cotton, this t-shirt has a relaxed boxy shape, long sleeves, and a wide bind on the neck and cuffs. Wears your tucked into track pants or denim.Mid-weight cotton long sleeve t-shirtHigh round crew necklineRelaxed fitWide bind detail on neckline and cuffs100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Long-Sleeve-T-Shirt-Off-White-1547.jpg?v=1652073064,Long Sleeve T-Shirt
Off White/Juniper Green ,The Contrast Rib Tank in Off White is designed in a racerback silhouette that&#39;s outlined in a Juniper Green contrast bind. Made from ribbed cotton in a flattering slim fit. Wear yours tucked into track pants or pair with denim.Rib cotton tank topRacer-back styleContrast juniper green bind around neckline and armholes&nbsp;Curved hemline100% CottonCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Contrast-Rib-Tank-Off-White-Juniper-Green-0971.jpg?v=1652073049,Contrast Rib Tank
Taupe/Red ,The Contrast Rib Tank in Taupe is designed in a racerback silhouette that&#39;s outlined in a Red contrast bind. Made from ribbed cotton in a flattering slim fit. Wear yours tucked into track pants or pair with denim.Rib cotton tank topRacer-back styleContrast juniper green bind around neckline and armholes&nbsp;Curved hemline100% CottonCold machine wash on a delicate cycle,https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Contrast-Rib-Tank-Taupe-Red-0637.jpg?v=1653972881,Contrast Rib Tank
Bone White ,"The Unisex Track Zip Sweater is back this season in a Bone White hue. This sweatshirt is a sporty style with a relaxed shape, zip neckline, and binding detail on the cuffs and hem. Wear yours to workouts, running errands, or lounging at home with the matching track pants or shorts.Zip neck cotton sweaterRelaxed fitTailored high neck with metal zipInternal contrast grey marl yokeRibbed cuffs and hemlineHip lengthCut for an oversized fit, please size down for a smaller fit100% CottonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Track-Pant-Bone-White-16711.jpg?v=1652073087,Unisex Track Zip Sweater
